19763,4218-6342-9757-9463,238.170.160.178,ICICI174,Franchise,22.814704,113.672784,2020-04-09 00:00:00
601,1059-9958-5858-1737,178.117.16.31,YESBANK270,Franchise,41.2290466,24.8816753,2020-04-09 00:00:00
29013,7525-5731-4394-5377,193.135.214.211,YESBANK358,Bank,42.951526,124.302017,2020-04-09 00:00:00
30717,6237-6370-0784-6924,100.63.189.100,HDFC778,Franchise,9.2228301,3.2005641,2020-04-09 00:00:00
18145,0318-2436-7556-7917,242.65.23.15,AXIS360,Franchise,51.4588944,3.5455371,2020-04-09 00:00:00
4067,3884-9424-0268-1509,147.238.214.192,ICICI115,Franchise,-30.3845133,-56.4488086,2020-04-09 00:00:00
19029,9524-4035-3356-2076,188.215.61.102,YESBANK230,Franchise,61.7983586,34.3753781,2020-04-09 00:00:00
33216,5500-6822-8310-8440,112.26.80.108,IDBI514,Bank,41.8265437,-71.4013635,2020-04-09 00:00:00
31939,9626-3853-7539-5182,182.18.33.231,IDBI775,Franchise,26.1372068,68.2667265,2020-04-09 00:00:00
25662,2144-7241-6759-2414,234.62.252.228,IDBI733,Franchise,-7.3743397,110.2648159,2020-04-09 00:00:00
3207,9244-8167-5253-9077,64.118.119.31,IDBI429,Franchise,-7.0277395,109.4616074,2020-04-09 00:00:00
31391,9622-3704-3309-5679,85.230.243.184,AXIS981,Franchise,14.8190224,-90.5131461,2020-04-09 00:00:00
3713,4955-9905-3911-7619,84.103.185.96,AXIS897,Franchise,53.43755,55.2578,2020-04-09 00:00:00
12160,9774-3863-8013-8067,37.158.65.60,HDFC128,Bank,-28.6229959,-52.8711249,2020-04-09 00:00:00
22178,9559-1899-4830-9949,13.247.14.205,IDBI779,Franchise,36.15,-96,2020-04-09 00:00:00
15613,8788-5685-0151-4314,176.83.223.182,SBI228,Franchise,-6.9158535,111.8151245,2020-04-09 00:00:00
25418,0004-4034-8654-4616,213.45.115.254,ICICI296,Bank,50.2875742,29.5094362,2020-04-09 00:00:00
29389,1757-9646-8149-7543,204.72.4.251,AXIS795,Franchise,-34.6175845,-58.5213843,2020-04-09 00:00:00
38171,1704-3607-8613-3029,163.34.9.16,HDFC356,Franchise,18.4530602,-69.9474964,2020-04-09 00:00:00
28642,5644-0863-5654-2326,124.28.74.124,SBI239,Bank,-10.2167,123.8222,2020-04-09 00:00:00
4237,4649-0114-0624-0147,214.155.204.122,YESBANK462,Franchise,49.5658236,18.814406,2020-04-09 00:00:00
1076,9656-4004-0291-8414,160.0.200.81,SBI449,Bank,43.4945737,5.8978018,2020-04-09 00:00:00
10000,5674-3487-4454-9089,85.175.120.197,AXIS795,Bank,12.906926,77.575289,2020-04-09 11:05:30
50000,5674-3487-4454-9089,192.168.1.222,SBI239,Bank,12.972395,77.636947,2020-04-09 11:06:30
10000,1234-5678-9012-3456,192.168.1.165,AXIS795,Bank,12.906926,77.575289,2020-04-09 11:12:30
20000,5678-3456-9878-1209,192.168.1.65,IDBI616,Bank,32.013,89.256,2020-04-09 11:13:30
5000,5678-3456-9878-1209,192.168.1.65,IDBI616,Bank,32.013,89.256,2020-04-09 11:14:30
40000,1234-5678-9012-3456,192.168.1.222,SBI239,Bank,12.972395,77.636947,2020-04-09 11:14:31
800,5100-1392-5071-6630,200.160.148.208,HDFC347,Franchise,12.895886,77.581499,2020-04-09 11:14:39
1900,5100-1392-5071-6630,200.23.148.98,YESBANK103,Bank,12.898227,77.582943,2020-04-09 11:17:59
6861,4096-6277-9663-7114,248.74.181.125,YESBANK685,Bank,39.8926924,-8.3687908,2020-04-09 00:00:00
38191,6632-8268-9528-6037,125.19.10.189,IDBI734,Franchise,33.722478,118.703424,2020-04-09 00:00:00
32364,2268-2735-1065-2275,10.195.110.173,SBI504,Bank,12.4917999,10.8903099,2020-04-09 00:00:00
20490,1871-8193-6240-7562,142.175.4.211,YESBANK862,Bank,39.1899002,-8.7267845,2020-04-09 00:00:00
11819,0899-0087-3728-5057,31.74.2.71,HDFC157,Franchise,41.7748248,-8.4372895,2020-04-09 00:00:00
16390,7569-6403-7294-8511,117.208.3.182,HDFC347,Franchise,23.9891132,-104.6751805,2020-04-09 00:00:00
33415,0196-1576-8291-1265,230.78.163.118,YESBANK319,Bank,-6.1841954,106.8310178,2020-04-09 00:00:00
36691,2285-5006-2042-9564,65.118.39.115,HDFC363,Franchise,-27.5283814,-59.5741045,2020-04-09 00:00:00
1326,4502-9784-7949-2930,29.80.98.141,HDFC844,Franchise,-8.2769363,-77.3008506,2020-04-09 00:00:00
37400,9887-9226-7327-9787,100.33.153.127,IDBI616,Franchise,49.070618,17.9723651,2020-04-09 00:00:00
12686,1299-4847-5899-3606,146.48.13.96,SBI263,Franchise,49.5792067,21.9487589,2020-04-09 00:00:00
24900,6948-9258-7617-0224,93.117.132.112,SBI407,Franchise,47.6508882,-122.3084023,2020-04-09 00:00:00
27515,9616-1514-1213-0823,47.11.132.225,AXIS359,Bank,10.5308066,105.1609838,2020-04-09 00:00:00
